INDICADOR,MODELO,BACKTEST_2024,BACKTEST_2025,BASELINE,ERRO_MEDIO_MODELO,ERRO_MEDIO_BASELINE,SUPEROU_BASELINE,SANITY_CHECK,STATUS,PUBLICAR_2026,REAL_2025,CENARIO_2026,VARIACAO_2026_PCT,LIMITE_INFERIOR,LIMITE_SUPERIOR,MAIOR_VARIACAO_HISTORICA_ABS_PCT
MATRICULAS,Crescimento recente,538753.5434797257,924697.3869002163,Persistencia,731725.465189971,643126.0,False,OK,REPROVADO,False,46018380.0,45390355.772575125,-1.3647247630726556,44465658.38567491,46315053.15947534,2.2734476699211803
ALUNOS_DOCENTE,Tendencia robusta,0.040764569618517044,0.5304773245507342,Persistencia,0.2856209470846256,0.3698028877512245,True,OK,APROVADO,True,15.380243278426628,15.213938713832594,-1.0812869574521211,14.68346138928186,15.744416038383328,4.005944846683008
ALUNOS_TURMA,Tendencia robusta,0.06551348721524874,0.32234263411143615,Persistencia,0.19392806066334245,0.38979861379299585,True,OK,APROVADO,True,20.5993170920368,20.317407737296104,-1.3685373815119029,19.99506510318467,20.63975037140754,2.7074912103258297
MATRICULAS_SALA,Crescimento recente,0.34503040356945647,0.6058936076054096,Persistencia,0.475462005587433,1.0176730633146178,True,OK,APROVADO,True,27.942696631942503,26.9792896220455,-3.447795402809095,26.37339601444009,27.58518322965091,4.576443810469244
IMDE,Crescimento recente,3.186729143112899,0.18855350976933494,Persistencia,1.687641326441117,1.609780026682742,False,OK,REPROVADO,False,76.82813971221046,78.49082493982232,2.1641617691643855,75.30409579670942,81.67755408293522,9.546122701144544
ACESSIBILIDADE,Crescimento recente,0.7212843646511509,1.365520806645474,Persistencia,1.0434025856483125,2.6984720412619847,True,OK,APROVADO,True,30.72656349484706,33.8459206583542,10.151988405830892,32.480399851708725,35.21144146499968,11.817978384344396
INTERNET_PCT,Crescimento recente,3.130994550514174,0.05156955767041893,Persistencia,1.5912820540922965,1.8348192643643984,True,OK,APROVADO,True,94.58402570067575,96.47623123339135,2.0005550817891127,93.34523668287717,99.60722578390552,5.548820403587307
BANDA_LARGA_PCT,Tendencia robusta,8.213637458752203,2.3755808949895965,Persistencia,5.2946091768709,0.5779984974814809,False,OK,REPROVADO,False,87.82164650214919,88.49021956411262,0.761285045990423,80.27658210536042,96.70385702286482,24.545315467998073
