ANO,REGISTROS,ESCOLAS,MUNICIPIOS,CAMPOS_HARMONIZADOS,VALORES_NULOS,CHAVES_DUPLICADAS,CAMPOS_COMPATIVEIS,CAMPOS_PARCIAIS,INDICE_COMPATIBILIDADE,NOTA
2021,221140,221140,5570,70,253490,0,46,12,89.7,Compatibilidade com a camada analitica; nao e indice oficial de qualidade do Censo.
2022,224649,224649,5570,70,2439180,0,47,11,90.5,Compatibilidade com a camada analitica; nao e indice oficial de qualidade do Censo.
2023,217625,217625,5570,70,2046629,0,55,3,97.4,Compatibilidade com a camada analitica; nao e indice oficial de qualidade do Censo.
2024,215545,215545,5570,70,1888551,0,54,4,96.6,Compatibilidade com a camada analitica; nao e indice oficial de qualidade do Censo.
2025,214192,214192,5571,70,1835303,0,58,0,100.0,Compatibilidade com a camada analitica; nao e indice oficial de qualidade do Censo.
