INDICADOR,MODELO,BACKTEST_ANO,REAL,PREVISTO,ERRO_ABSOLUTO,ERRO_PCT
MATRICULAS,Persistencia,2024,47088922.0,47304632.0,215710.0,0.4580907585864888
MATRICULAS,Persistencia,2025,46018380.0,47088922.0,1070542.0,2.326335694563781
MATRICULAS,Crescimento recente,2024,47088922.0,47627675.543479726,538753.5434797257,1.1441195096369496
MATRICULAS,Crescimento recente,2025,46018380.0,46943077.38690022,924697.3869002163,2.009408820780341
MATRICULAS,Tendencia robusta,2024,47088922.0,47622747.5,533825.5,1.133654110833117
MATRICULAS,Tendencia robusta,2025,46018380.0,47120287.833333336,1101907.8333333358,2.3944950546571517
ALUNOS_DOCENTE,Persistencia,2024,16.02207892338964,16.119849053929077,0.09777013053943762,0.6102212516049279
ALUNOS_DOCENTE,Persistencia,2025,15.380243278426628,16.02207892338964,0.6418356449630114,4.173117637633817
ALUNOS_DOCENTE,Crescimento recente,2024,16.02207892338964,15.983166615101924,0.03891230828771519,0.24286678697425168
ALUNOS_DOCENTE,Crescimento recente,2025,15.380243278426628,15.93245583200369,0.5522125535770623,3.5904019434571177
ALUNOS_DOCENTE,Tendencia robusta,2024,16.02207892338964,15.981314353771122,0.040764569618517044,0.25442746733076804
ALUNOS_DOCENTE,Tendencia robusta,2025,15.380243278426628,15.910720602977362,0.5304773245507342,3.4490827937345934
ALUNOS_TURMA,Persistencia,2024,21.172562356849248,21.37891431962279,0.2063519627735424,0.9746196955078905
ALUNOS_TURMA,Persistencia,2025,20.5993170920368,21.172562356849248,0.5732452648124493,2.7828362573924945
ALUNOS_TURMA,Crescimento recente,2024,21.172562356849248,21.11213474315139,0.06042761369785765,0.28540529331967956
ALUNOS_TURMA,Crescimento recente,2025,20.5993170920368,20.947159698754817,0.34784260671801803,1.6886123222623026
ALUNOS_TURMA,Tendencia robusta,2024,21.172562356849248,21.107048869634,0.06551348721524874,0.3094263514782157
ALUNOS_TURMA,Tendencia robusta,2025,20.5993170920368,20.921659726148235,0.32234263411143615,1.5648219437140762
MATRICULAS_SALA,Persistencia,2024,29.282807880731855,29.97804275857174,0.6952348778398836,2.3742083773918057
MATRICULAS_SALA,Persistencia,2025,27.942696631942503,29.282807880731855,1.340111248789352,4.795926701138118
MATRICULAS_SALA,Crescimento recente,2024,29.282807880731855,29.627838284301312,0.34503040356945647,1.1782695326717187
MATRICULAS_SALA,Crescimento recente,2025,27.942696631942503,28.548590239547913,0.6058936076054096,2.168343362081906
MATRICULAS_SALA,Tendencia robusta,2024,29.282807880731855,29.617939005476323,0.3351311247444677,1.1444637621823988
MATRICULAS_SALA,Tendencia robusta,2025,27.942696631942503,28.699283377806793,0.7565867458642899,2.7076368320135678
IMDE,Persistencia,2024,74.93956620045807,73.60857965884497,1.3309865416131004,1.776079858872955
IMDE,Persistencia,2025,76.82813971221046,74.93956620045807,1.8885735117523836,2.45817941033945
IMDE,Crescimento recente,2024,74.93956620045807,78.12629534357097,3.186729143112899,4.252398705629844
IMDE,Crescimento recente,2025,76.82813971221046,76.63958620244112,0.18855350976933494,0.24542245910890867
IMDE,Tendencia robusta,2024,74.93956620045807,77.70825646756423,2.7686902671061517,3.694564043378767
IMDE,Tendencia robusta,2025,76.82813971221046,77.5056105477951,0.6774708355846428,0.88180038996437
ACESSIBILIDADE,Persistencia,2024,27.479090517298314,25.32961941232309,2.1494711049752233,7.822206137507038
ACESSIBILIDADE,Persistencia,2025,30.72656349484706,27.479090517298314,3.247472977548746,10.56894298672013
ACESSIBILIDADE,Crescimento recente,2024,27.479090517298314,26.757806152647163,0.7212843646511509,2.6248480247084465
ACESSIBILIDADE,Crescimento recente,2025,30.72656349484706,29.361042688201586,1.365520806645474,4.444105201919102
ACESSIBILIDADE,Tendencia robusta,2024,27.479090517298314,26.645311703898265,0.8337788134000483,3.0342300189126625
ACESSIBILIDADE,Tendencia robusta,2025,30.72656349484706,28.964277170596656,1.7622863242504039,5.7353837325347
INTERNET_PCT,Persistencia,2024,92.10559743738436,90.91438717194696,1.1912102654374053,1.2933093086413332
INTERNET_PCT,Persistencia,2025,94.58402570067575,92.10559743738436,2.4784282632913914,2.6203455022465643
INTERNET_PCT,Crescimento recente,2024,92.10559743738436,95.23659198789854,3.130994550514174,3.3993531746457655
INTERNET_PCT,Crescimento recente,2025,94.58402570067575,94.53245614300533,0.05156955767041893,0.054522481241830345
INTERNET_PCT,Tendencia robusta,2024,92.10559743738436,94.94442158054883,2.838824143164473,3.0821407407887182
INTERNET_PCT,Tendencia robusta,2025,94.58402570067575,95.3787930320325,0.794767331356752,0.8402764901040514
BANDA_LARGA_PCT,Persistencia,2024,87.06249887570381,86.66564950718623,0.3968493685175787,0.4558212475432702
BANDA_LARGA_PCT,Persistencia,2025,87.82164650214919,87.06249887570381,0.7591476264453831,0.8644197150491879
BANDA_LARGA_PCT,Crescimento recente,2024,87.06249887570381,97.38978566558235,10.327286789878542,11.861923242775815
BANDA_LARGA_PCT,Crescimento recente,2025,87.82164650214919,87.35019255029113,0.4714539518580665,0.5368311465744712
BANDA_LARGA_PCT,Tendencia robusta,2024,87.06249887570381,95.27613633445601,8.213637458752203,9.434185286225858
BANDA_LARGA_PCT,Tendencia robusta,2025,87.82164650214919,90.19722739713879,2.3755808949895965,2.705006099984086
